IUPAC (LiGA),total,LiGA_StDev,IUPAC (CFG),Average RFU,StDev
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.470641373,0.05426852041195632,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-10.178725000000004,2.6458375036712534
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp,0.283001055,0.05052303842595191,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,-8.316225,9.148926595098468
,,,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,-16.216375000000006,7.052071738798936
Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp,1.004351829,0.09101123835981673,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,-20.251499999999993,11.268760661522064
Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp,1.364444444,0.17076768671906262,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,-3.7160499999999974,3.4446926176365915
"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp",1.131204482,0.04295620562761411,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",-0.2858750000000043,7.774466668685381
,,,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",,
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-Sp,2.4359463690000003,0.4080655513946175,,,
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,3.045977011,0.34012168990848696,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-22.473300000000002,14.626679269289616
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp,1.489947954,0.17514591874474486,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,-10.451675000000002,17.850419039409125
Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,1.7176452269999998,0.10383145454215252,,,
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,6.296774194,3.9377952845162763,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,-15.234425000000005,6.3702435863290665
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,0.7488431879999999,0.153609490009905,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,3.276392786,0.5025343510008589,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,3.3180592989999997,0.2136084602264684,,,
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.987379118,0.17313850147803445,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-27.018449999999994,18.987742525025638
Man(a1-6)[Man(a1-3)]Man(a1-S6,1.6100596880000002,0.040975446977068265,Man(a1-6)[Man(a1-3)]Man(a1-Sp9,595.1514000000001,48.862889677612046
Man(a1-S6,0.98165945,0.10218329070351263,Man(a1-Sp8,-11.658450000000002,16.123735353922598
Man(b1-S0,0.544712099,0.15090626634004226,Man(b1-Sp8,-21.9275,8.01860775238862
Man(b1-S0,0.424266175,0.1313438778605504,,,
Man(b1-S0,0.6766139379999999,0.06759628260754444,,,
Galf(b1-S8,0.18971795100000002,0.037684564982046635,,,
Galf(b1-5)Galf(b1-S8,0.833333333,0.2601663074858781,,,
Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.324609587,0.12354738801608432,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,0.807106696,0.036433355158181024,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.194350063,0.05787810114317754,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.243588956,0.04000350964092388,0,0.0,0.0
