IUPAC (LiGA),total,LiGA_StDev,IUPAC (CFG),Average RFU,StDev
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp,2.282463517,0.10050864955946086,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,88.1446,17.376798460207407
Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,10.91559252,0.7904906920188209,,,
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,1.6730769230000002,2.6589246900600068,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,53.888949999999994,26.739491776334606
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,1.9121518990000002,0.1503656866693003,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,2.114553786,0.12452256495849467,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,1.845117845,0.03445706636195284,,,
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp,2.047530289,0.18538453608091185,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,28.339824999999998,31.464809822336967
Man(a1-6)[Man(a1-3)]Man(a1-S6,1.276123231,0.031915231219417174,Man(a1-6)[Man(a1-3)]Man(a1-Sp9,54.61322500000001,15.312230566745225
Man(a1-S6,1.6004554659999999,0.08072795288172514,Man(a1-Sp8,255.20775000000003,49.48408600493002
Man(b1-S0,1.166179877,0.18727891910235586,Man(b1-Sp8,425.461675,42.408681624670045
Man(b1-S0,1.083226837,0.10911600218952228,,,
Man(b1-S0,1.057490853,0.10648068796912036,,,
Galf(b1-S8,0.48896472799999996,0.09110633755790223,,,
Galf(b1-5)Galf(b1-S8,2.0438596490000003,0.41457886051712173,,,
Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.3824841,0.13762169936690735,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.56263086,0.09941050252230936,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.6429643390000002,0.08592780380868738,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.5533560080000002,0.0244010743849279,0,0.0,0.0
