IUPAC (LiGA),total,LiGA_StDev,IUPAC (CFG),Average RFU,StDev
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,3.153451226,0.31476812977878005,,,
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp,2.063233966,1.0437942655332408,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,7.33215,4.638928084159089
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp,2.234297773,0.9100095298682443,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,21.362924999999994,22.33221761198754
,,,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,13.197025,9.715775893317355
Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp,2.7817390580000003,0.17982991473916218,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,16.965424999999996,5.907105115804759
Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp,1.5264957259999998,0.2745006276375249,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,19.244675,17.224318791440393
"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp",2.709355742,0.28034376920267506,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",101.9188,18.905144632788904
,,,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",,
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-Sp,3.5061166569999997,0.41288095656215545,,,
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,3.8620689660000003,0.8981088739884822,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,23.031149999999997,35.964355733837394
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp,2.5444433109999998,0.6222322194642115,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,40.436650000000014,4.1541873433118415
