IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,6.296774194,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,-15.234425,6.370243586
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,0.748843188,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,3.276392786,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,3.318059299,,,
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.987379118,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-27.01845,18.98774253
Man(a1-6)[Man(a1-3)]Man(a1-S6,1.610059688,Man(a1-6)[Man(a1-3)]Man(a1-Sp9,595.1514,48.86288968
Man(a1-S6,0.98165945,Man(a1-Sp8,-11.65845,16.12373535
Man(b1-S0,0.676613938,Man(b1-Sp8,-21.9275,8.018607752
Man(b1-S0,0.676613938,,,
Man(b1-S0,0.676613938,,,
Galf(b1-S8,0.189717951,,,
Galf(b1-5)Galf(b1-S8,0.833333333,,,
Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.324609587,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.243588956,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.243588956,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.243588956,,0,0
