Structure on Masterlist,IUPAC
GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0
GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
GalNAcb1-4GlcNAcb-Sp0,GalNAc(b1-4)GlcNAc(b1-Sp0
GalNAcb1-4GlcNAcb-Sp8,GalNAc(b1-4)GlcNAc(b1-Sp8
Gala1-2Galb-Sp8,Gal(a1-2)Gal(b1-Sp8
Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0
Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0
Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0
Gala1-3(Fuca1-2)Galb-Sp8,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8
Gala1-3(Fuca1-2)Galb-Sp18,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18
Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8
Gala1-3GalNAca-Sp8,Gal(a1-3)GalNAc(a1-Sp8
Gala1-3GalNAca-Sp16,Gal(a1-3)GalNAc(a1-Sp16
Gala1-3GalNAcb-Sp8,Gal(a1-3)GalNAc(b1-Sp8
Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
Gala1-3Galb1-3GlcNAcb-Sp0,Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0
Gala1-3Galb1-4GlcNAcb-Sp8,Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8
Gala1-3Galb1-4Glcb-Sp0,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0
Gala1-3Galb1-4Glc-Sp10,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10
Gala1-3Galb-Sp8,Gal(a1-3)Gal(b1-Sp8
Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
Gala1-4Galb1-4GlcNAcb-Sp0,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0
Gala1-4Galb1-4GlcNAcb-Sp8,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8
Gala1-4Galb1-4Glcb-Sp0,Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
Gala1-4GlcNAcb-Sp8,Gal(a1-4)GlcNAc(b1-Sp8
Gala1-6Glcb-Sp8,Gal(a1-6)Glc(b1-Sp8
Galb1-2Galb-Sp8,Gal(b1-2)Gal(b1-Sp8
Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Galb1-3(Fuca1-4)GlcNAc-Sp0 ,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 
Galb1-3(Fuca1-4)GlcNAc-Sp8 ,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 
Fuca1-4(Galb1-3)GlcNAcb-Sp8,Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8
Galb1-4GlcNAcb1-6GalNAca-Sp8,Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8
Galb1-4GlcNAcb1-6GalNAc-Sp14,Gal(b1-4)GlcNAc(b1-6)GalNAc(b1-Sp14
GlcNAcb1-6(Galb1-3)GalNAca-Sp8 ,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8 
GlcNAcb1-6(Galb1-3)GalNAca-Sp14,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
Neu5Aca2-6(Galb1-3)GalNAca-Sp8,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8
Neu5Aca2-6(Galb1-3)GalNAca-Sp14,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14
Neu5Acb2-6(Galb1-3)GalNAca-Sp8,Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8
Neu5Aca2-6(Galb1-3)GlcNAcb1-4Galb1-4Glcb-Sp10,Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10
Galb1-3GalNAca-Sp8,Gal(b1-3)GalNAc(a1-Sp8
Galb1-3GalNAca-Sp14,Gal(b1-3)GalNAc(a1-Sp14
Galb1-3GalNAca-Sp16,Gal(b1-3)GalNAc(a1-Sp16
Galb1-3GalNAcb-Sp8,Gal(b1-3)GalNAc(b1-Sp8
Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
Galb1-3GalNAcb1-4Galb1-4Glcb-Sp8,Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8
Galb1-3Galb-Sp8,Gal(b1-3)Gal(b1-Sp8
Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10
Galb1-3GlcNAcb-Sp0,Gal(b1-3)GlcNAc(b1-Sp0
Galb1-3GlcNAcb-Sp8,Gal(b1-3)GlcNAc(b1-Sp8
Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Galb1-4(Fuca1-3)GlcNAcb-Sp8,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Galb1-4(6S)Glcb-Sp0,Gal(b1-4)(6S)Glc(b1-Sp0
Galb1-4(6S)Glcb-Sp8,Gal(b1-4)(6S)Glc(b1-Sp8
Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
Galb1-4GalNAcb1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
Galb1-4GlcNAcb1-3GalNAca-Sp8,Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8
Galb1-4GlcNAcb1-3GalNAc-Sp14,Gal(b1-4)GlcNAc(b1-3)GalNAc(b1-Sp14
